Constituency	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6
Cardiff South & Penarth	584	1450.466	571.5	1428.815	546.5	1428.815	534	1450.466	546.5	1472.117	571.5	1472.117
Cardiff West	546.5	1472.117	534	1450.466	509	1450.466	496.5	1472.117	509	1493.768	534	1493.768
Carlisle	509	1450.466	496.5	1428.815	471.5	1428.815	459	1450.466	471.5	1472.117	496.5	1472.117
Carmarthen East & Dinefwr	734	584.426	721.5	562.775	696.5	562.775	684	584.426	696.5	606.077	721.5	606.077
Carmarthen West & Pembrokeshire South	434	1407.164	421.5	1385.513	396.5	1385.513	384	1407.164	396.5	1428.815	421.5	1428.815
Carshalton & Wallington	359	1450.466	346.5	1428.815	321.5	1428.815	309	1450.466	321.5	1472.117	346.5	1472.117
Castle Point	996.5	1645.325	984	1623.674	959	1623.674	946.5	1645.325	959	1666.976	984	1666.976
Ceredigion	1371.5	1472.117	1359	1450.466	1334	1450.466	1321.5	1472.117	1334	1493.768	1359	1493.768
Charnwood	584	1277.258	571.5	1255.607	546.5	1255.607	534	1277.258	546.5	1298.909	571.5	1298.909
Chatham & Aylesford	996.5	1125.701	984	1104.05	959	1104.05	946.5	1125.701	959	1147.352	984	1147.352
Cheadle	1334	1580.372	1321.5	1558.721	1296.5	1558.721	1284	1580.372	1296.5	1602.023	1321.5	1602.023
Chelmsford	771.5	909.191	759	887.54	734	887.54	721.5	909.191	734	930.842	759	930.842
Chelsea & Fulham	1259	1407.164	1246.5	1385.513	1221.5	1385.513	1209	1407.164	1221.5	1428.815	1246.5	1428.815
Cheltenham	996.5	1515.419	984	1493.768	959	1493.768	946.5	1515.419	959	1537.07	984	1537.07
Chesham & Amersham	696.5	1428.815	684	1407.164	659	1407.164	646.5	1428.815	659	1450.466	684	1450.466
Chester, City of	771.5	1428.815	759	1407.164	734	1407.164	721.5	1428.815	734	1450.466	759	1450.466
Chesterfield	584	1017.446	571.5	995.795	546.5	995.795	534	1017.446	546.5	1039.097	571.5	1039.097
Chichester	959	1017.446	946.5	995.795	921.5	995.795	909	1017.446	921.5	1039.097	946.5	1039.097
Chingford & Woodford Green	996.5	1731.929	984	1710.278	959	1710.278	946.5	1731.929	959	1753.58	984	1753.58
Chippenham	1184	1407.164	1171.5	1385.513	1146.5	1385.513	1134	1407.164	1146.5	1428.815	1171.5	1428.815
Chipping Barnet	621.5	1645.325	609	1623.674	584	1623.674	571.5	1645.325	584	1666.976	609	1666.976
Chorley	1034	1320.56	1021.5	1298.909	996.5	1298.909	984	1320.56	996.5	1342.211	1021.5	1342.211
Christchurch	659	714.332	646.5	692.681	621.5	692.681	609	714.332	621.5	735.983	646.5	735.983
Cities of London & Westminster	659	1753.58	646.5	1731.929	621.5	1731.929	609	1753.58	621.5	1775.231	646.5	1775.231
