Constituency	x	order	y
East Kilbride, Strathaven & Lesmahagow	571.5	6	476.171
East Lothian	759	6	411.218
Edinburgh East	721.5	6	389.567
Edinburgh North & Leith	721.5	6	432.869
Edinburgh South	684	6	454.52
Edinburgh South West	684	6	411.218
Edinburgh West	684	6	367.916
Falkirk	646.5	6	302.963
North East Fife	759	6	281.312
Glasgow Central	571.5	6	389.567
Glasgow East	609	6	367.916
Glasgow North	571.5	6	346.265
Glasgow North East	609	6	324.614
Glasgow North West	534	6	324.614
Glasgow South	609	6	454.52
Glasgow South West	534	6	367.916
Glenrothes	721.5	6	302.963
Gordon	646.5	6	173.057
Inverclyde	496.5	6	346.265
Inverness, Nairn, Badenoch & Strathspey	609	6	194.708
Kilmarnock & Loudoun	609	6	497.822
Kirkcaldy & Cowdenbeath	684	6	324.614
Lanark & Hamilton East	646.5	6	476.171
Linlithgow & East Falkirk	646.5	6	346.265
Livingston	684	6	497.822
Midlothian	721.5	6	519.473
Moray	646.5	6	216.359
Motherwell & Wishaw	646.5	6	432.869
Na h-Eileanan an Iar	496.5	6	173.057
Ochil & South Perthshire	646.5	6	259.661
Orkney & Shetland	684	6	64.802
Paisley & Renfrewshire North	534	6	281.312
Paisley & Renfrewshire South	534	6	411.218
Perth & North Perthshire	609	6	238.01
East Renfrewshire	571.5	6	432.869
Ross, Skye & Lochaber	571.5	6	173.057
Rutherglen & Hamilton West	646.5	6	519.473
Stirling	571.5	6	216.359
